Feature,Feature Number,Chinese question,English question,Category,Group,Subgroup,Translation
舌淡苔白,F64,,tongue color 舌色,A,Tongue and Pulse,Tongue,pale tongue 淡白舌 white fur 白苔
舌红少苔,F65,,tongue body 舌體; 舌質,A,Tongue and Pulse,Tongue,red tongue 紅舌 little tongue coating 少苔
舌红,F66,,tongue fur 舌苔,A,Tongue and Pulse,Tongue,red tongue 紅舌
苔黄腻,F67,,,A,Tongue and Pulse,Tongue,yellow fur 黃苔 slimy fur 膩苔
舌苔滑腻,F68,,,A,Tongue and Pulse,Tongue,slimy fur 膩苔 slippery fur 滑苔
舌胖大边有齿痕,F69,,,A,Tongue and Pulse,Tongue,enlarged tongue 胖大舌teeth-marked tongue 齒痕舌
舌紫暗有瘀斑,F70,,,A,Tongue and Pulse,Tongue,purple tongue 紫舌 bluish purple tongue 靑紫舌 petechia
苔黄,F71,,,A,Tongue and Pulse,Tongue,yellow fur 黃苔
舌下络脉青紫,F72,,,A,Tongue and Pulse,Tongue,"sublingual collateral
vessels/vein under the tongue 舌下脉络"
脉沉细或沉紧,F73,,,A,Tongue and Pulse,Pulse,sunken pulse 沈脈 fine pulse 細脈 tight pulse 緊脈
脉滑数,F74,,,A,Tongue and Pulse,Pulse,rapid pulse 數脈 slippery pulse 滑脈
脉细或弱,F75,,,A,Tongue and Pulse,Pulse,fine pulse 細脈 weak pulse 弱脈
脉涩、结、代,F76,,,A,Tongue and Pulse,Pulse,rough pulse 澁脈 intermittent pulse 代脈 bound pulse 結脈
脉细或细数,F77,,,A,Tongue and Pulse,Pulse,rapid pulse 數脈fine pulse 細脈
脉弦,F78,,,A,Tongue and Pulse,Pulse,string-like pulse 弦脈
脉弦数,F79,,,A,Tongue and Pulse,Pulse,rapid pulse 數脈 string-like pulse 弦脈
脉弦滑,F80,,,A,Tongue and Pulse,Pulse,slippery pulse 滑脈 string-like pulse 弦脈
脉滑,F81,,,A,Tongue and Pulse,Pulse,slippery pulse 滑脈
